Date,Open,High,Low,Close,Adj Close,Volume
2022-04-27,48.259998,49.279999,45.660000,48.459999,48.013481,145748500
2022-04-28,46.119999,48.110001,42.450001,43.349998,42.950565,143093500
2022-04-29,45.040001,49.410000,43.619999,49.029999,48.578228,125386700
2022-05-02,49.360001,50.869999,46.599998,46.639999,46.210251,160719500
2022-05-03,46.700001,47.790001,45.520000,46.529999,46.101261,119154300
2022-05-04,46.330002,48.709999,41.529999,41.790001,41.404942,164507800
2022-05-05,43.529999,49.410000,43.480000,47.950001,47.508183,175236700
2022-05-06,49.099998,51.790001,47.169998,49.810001,49.351044,200645100
2022-05-09,52.669998,56.389999,51.450001,55.610001,55.097599,165115800
2022-05-10,51.560001,56.020000,50.880001,53.650002,53.155663,188946300
2022-05-11,54.919998,58.919998,51.910000,58.430000,57.891617,174538300
2022-05-12,61.110001,62.610001,56.090000,58.759998,58.218575,175686300
2022-05-13,56.110001,57.110001,51.680000,52.439999,51.956806,126441200
2022-05-16,53.250000,54.799999,52.169998,54.049999,53.551971,110100300
2022-05-17,50.869999,52.990002,49.730000,49.950001,49.489754,119601400
2022-05-18,52.200001,57.919998,51.840000,57.209999,56.682858,130385400
2022-05-19,58.410000,59.400002,55.340000,58.259998,57.723183,160100000
2022-05-20,56.040001,63.860001,55.639999,58.730000,58.188850,171717700
2022-05-23,58.099998,59.590000,55.599998,55.810001,55.295757,110904800
2022-05-24,58.880001,62.230000,58.459999,59.340000,58.793232,138480300
2022-05-25,60.320000,60.459999,55.549999,56.900002,56.375713,109383100
2022-05-26,57.330002,57.520000,51.220001,52.160000,51.679386,99084900
2022-05-27,50.470001,50.520000,46.970001,47.009998,46.576839,97902900
2022-05-31,47.020000,49.209999,46.020000,47.310001,46.874077,122783200
2022-06-01,46.389999,49.500000,45.389999,48.500000,48.053116,125293600
2022-06-02,49.009998,49.700001,44.400002,44.500000,44.089970,110786800
2022-06-03,46.750000,48.500000,46.130001,47.959999,47.518089,124860200
2022-06-06,45.810001,48.220001,45.049999,47.450001,47.012791,99605400
2022-06-07,49.060001,49.570000,45.869999,46.250000,45.823845,96093900
2022-06-08,46.610001,47.619999,45.380001,47.200001,46.765091,76082800
2022-06-09,48.040001,51.110001,46.599998,51.029999,50.559799,111875400
2022-06-10,53.970001,56.680000,53.360001,56.520000,55.999218,138826600
2022-06-13,61.810001,64.839996,60.259998,64.209999,63.618359,155730000
2022-06-14,62.669998,65.760002,62.029999,63.830002,63.241863,120578700
2022-06-15,61.520000,63.480000,56.380001,59.169998,58.624794,142022600
2022-06-16,63.750000,67.690002,63.430000,66.089996,65.481033,130106000
2022-06-17,65.779999,67.040001,62.090000,63.959999,63.370659,122881600
2022-06-21,60.759998,60.830002,57.500000,59.180000,58.634705,81902800
2022-06-22,60.790001,61.139999,56.560001,59.389999,58.842770,101489000
2022-06-23,57.799999,59.639999,56.220001,56.849998,56.326172,100782900
2022-06-24,55.070000,55.189999,51.000000,51.009998,50.539986,86700900
2022-06-27,50.180000,52.639999,49.910000,52.000000,51.520863,84310800
2022-06-28,51.779999,56.910000,50.340000,56.770000,56.246910,117353400
2022-06-29,56.919998,58.430000,55.709999,56.650002,56.128017,111875200
2022-06-30,58.480000,61.470001,56.619999,58.840000,58.297836,140931900
2022-07-01,59.619999,60.840000,57.369999,57.619999,57.089077,105186100
2022-07-05,59.980000,60.939999,54.619999,54.660000,54.156353,112291900
2022-07-06,54.459999,55.450001,52.400002,53.650002,53.155663,91858400
2022-07-07,53.139999,53.139999,49.810001,50.279999,49.816711,79036400
2022-07-08,51.709999,52.189999,49.310001,50.040001,49.578922,101786400
2022-07-11,51.310001,53.689999,51.160000,53.240002,52.749439,88960400
2022-07-12,52.560001,55.680000,51.450001,54.779999,54.275246,103216600
2022-07-13,58.049999,58.360001,53.730000,55.119999,54.612114,137095000
2022-07-14,56.700001,58.509998,54.040001,54.529999,54.027550,114668500
2022-07-15,52.759998,53.759998,51.529999,51.639999,51.164181,99413200
2022-07-18,50.080002,53.509998,49.320000,52.889999,52.402660,110211500
2022-07-19,50.860001,51.770000,47.860001,48.150002,47.706337,101230700
2022-07-20,47.820000,48.200001,45.150002,45.759998,45.338356,119160600
2022-07-21,45.549999,46.770000,43.779999,43.799999,43.396416,119480400
2022-07-22,44.200001,46.900002,43.290001,46.080002,45.655411,121407500
2022-07-25,46.099998,47.840000,45.869999,46.830002,46.398502,94542100
2022-07-26,47.720001,50.049999,47.610001,49.619999,49.162792,91591000
2022-07-27,47.290001,47.599998,42.470001,43.470001,43.069462,129089900
2022-07-28,43.480000,45.099998,41.869999,42.130001,41.741806,112565100
2022-07-29,41.470001,42.070000,39.450001,39.830002,39.463001,118319300
2022-08-01,40.520000,40.939999,38.560001,39.889999,39.522446,125391800
2022-08-02,40.810001,41.209999,38.660000,40.279999,39.908852,143998200
2022-08-03,39.599998,39.639999,36.660000,37.060001,36.718525,124328800
